,Unnamed: 0,review,model,sentiment
0,0,The movie was a complete soeonfszet. I reeergttd every second. Total wstae of meony.,Gemini-1.5-Flash,negative
1,1,"Suslireoy, the wosrt venue I've ever been to. The sound was tlibrere, the seats ubclatforomne, and the saftf rdue.",Gemini-1.5-Flash,negative
2,2,"This event was so poorly organized, it was a joke. I left early, fleneig ripped off.",Gemini-1.5-Flash,negative
3,3,"What a dssatier of a movie! The acting was auwfl, the plot was nonsensical, and the spcieal effects were cheesy.",Gemini-1.5-Flash,negative
4,4,"I wouldn't rneommced this venue to my wosrt emney. It was drtiy, cramped, and overpriced.",Gemini-1.5-Flash,negative
5,5,"The event was a complete letdown. The performers wree underwhelming, and the whole thing felt rushed.",Gemini-1.5-Flash,negative
6,6,This movie was bonirg and predictable. I cluod have stayed home and watched paint dry.,Gemini-1.5-Flash,negative
7,7,The sound system at the vnuee was atrocious. I couldn't hear ahytning properly.,Gemini-1.5-Flash,negative
8,8,The event was poorly advertised and even wsore in riately. A total watse of time.,Gemini-1.5-Flash,negative
9,9,This movie had a tlbrreie plot and uenblilaebve acting. I'm asking for my money back.,Gemini-1.5-Flash,negative
10,10,"The venue was a dmup. Dirty, smelly, and the staff wree unhelpful.",Gemini-1.5-Flash,negative
11,11,Such a dnpnpastioiig event. The pmsoired ennettmrneiat was nowhere to be seen.,Gemini-1.5-Flash,negative
12,12,I fell asleep during this movie. It was that bad.,Gemini-1.5-Flash,negative
13,13,The venue was overcrowded and ulorcbnamfote. I couldn't even eojny the event.,Gemini-1.5-Flash,negative
14,14,This event was a caiothc mses. Things weren't onriegazd and the staff were cslueels.,Gemini-1.5-Flash,negative
15,15,The movie was so slow and boring. I aslomt wlekad out.,Gemini-1.5-Flash,negative
16,16,"The venue was so small and cramped, it was unbearable. I couldn't breathe.",Gemini-1.5-Flash,negative
17,17,This event was a cmtloepe rip-off. I'm furiuos.,Gemini-1.5-Flash,negative
18,18,The movie was predictable and cliché. I've seen beettr.,Gemini-1.5-Flash,negative
19,19,The venue was poorly maintained and ulaecnn. I'm disuetsgd.,Gemini-1.5-Flash,negative
20,20,This event was dgiosnziraed and lacked any real emeatennnitrt vlaue.,Gemini-1.5-Flash,negative
21,21,The movie was just aufwl. I don't even konw where to begin.,Gemini-1.5-Flash,negative
22,22,The venue was niosy and drnasitticg. I couldn't focus on the event.,Gemini-1.5-Flash,negative
23,23,This event was a complete fairule. I rrgeet attending.,Gemini-1.5-Flash,negative
24,24,The mivoe was cnfousing and poorly written. I was lsot the entire time.,Gemini-1.5-Flash,negative
25,25,The venue was far too expensive for what it offered. I felt cheetad.,Gemini-1.5-Flash,negative
26,26,This event was poorly executed and lacked any ctitrvaiey.,Gemini-1.5-Flash,negative
27,27,The moive was a complete waste of time and money. Don't bhetor.,Gemini-1.5-Flash,negative
28,28,The venue was ufnlbormcaote and lacked bsiac amenities. I was mlriebsae.,Gemini-1.5-Flash,negative
29,29,This event was underwhelming and dtpnionaiispg. I expected so much more.,Gemini-1.5-Flash,negative
30,30,The movie was bronig and lacked any sacbnstue. I'm so daiiopptesnd.,Gemini-1.5-Flash,negative
31,31,The venue was dtiry and smelled afwul. I couldn't even stay for the whole event.,Gemini-1.5-Flash,negative
32,32,This event was poorly mgaaend and lekacd any sense of professionalism.,Gemini-1.5-Flash,negative
33,33,The movie was a mses. The plot was all over the place.,Gemini-1.5-Flash,negative
34,34,The venue was dilufifct to get to and poorly signposted. I alomst msiesd the event.,Gemini-1.5-Flash,negative
35,35,This event was a huge letdown. I'm so arngy.,Gemini-1.5-Flash,negative
36,36,"The movie was so predictable, it was iunsilntg. I'm so mad.",Gemini-1.5-Flash,negative
37,37,The venue was overpriced and understaffed. It was chaos.,Gemini-1.5-Flash,negative
38,38,This event was a complete wsate of my evening. I'm so futesartrd.,Gemini-1.5-Flash,negative
39,39,The movie was just plian bad. I can't believe I paid to see it.,Gemini-1.5-Flash,negative
40,40,"The venue was cramped and ufarboomtlnce, making the event unsnpaalet.",Gemini-1.5-Flash,negative
41,41,Tihs event was poorly advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative
42,42,The movie was a complete dpmtiopenniast. I'm so upset.,Gemini-1.5-Flash,negative
43,43,"The venue was a fire hazard. Seriously, it was deronguas.",Gemini-1.5-Flash,negative
44,44,This evnet was a total dessaitr. I'll never go back.,Gemini-1.5-Flash,negative
45,45,"The movie was slow, bionrg, and had tbreilre acting.",Gemini-1.5-Flash,negative
46,46,"The venue was small, dtriy, and the sound was trrlbeie.",Gemini-1.5-Flash,negative
47,47,This event was poorly organized and lacked any claer direction.,Gemini-1.5-Flash,negative
48,48,The movie was cnisnfuog and lcekad a coherent plot.,Gemini-1.5-Flash,negative
49,49,The venue was ulomnrobfcate and lacked adauteqe seating.,Gemini-1.5-Flash,negative
50,50,This event was a complete wtsae of time and money. Avoid it.,Gemini-1.5-Flash,negative
51,51,The movie was predictable and lacked any originality.,Gemini-1.5-Flash,negative
52,52,The venue was diffulict to access and lacked proper parking.,Gemini-1.5-Flash,negative
53,53,This event was a datesisr. The performers were ufsearnnoiospl.,Gemini-1.5-Flash,negative
54,54,The movie was tirbrele. I rrgeet watching it.,Gemini-1.5-Flash,negative
55,55,The venue was run-down and in drepesate need of repair.,Gemini-1.5-Flash,negative
56,56,This event was a complete letdown. I'm so doipentpsaid.,Gemini-1.5-Flash,negative
57,57,"The movie was bionrg, pecbalrdtie, and had tlrebrie dialogue.",Gemini-1.5-Flash,negative
58,58,The venue was overcrowded and chitaoc. It was a nightmare.,Gemini-1.5-Flash,negative
59,59,This event was prlooy managed and lacked any cmueostr service.,Gemini-1.5-Flash,negative
60,60,The movie was a complete mses. I couldn't follow the plot.,Gemini-1.5-Flash,negative
61,61,The venue was ubctlfmoranoe and the tprearmeute was unbearable.,Gemini-1.5-Flash,negative
62,62,This event was a wtase of time and money. I'm so anrgy.,Gemini-1.5-Flash,negative
63,63,"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
64,64,The venue was proloy lit and dulicffit to navigate.,Gemini-1.5-Flash,negative
65,65,This event was a complete friaule. I'm so fatetrursd.,Gemini-1.5-Flash,negative
66,66,The movie was unoriginal and lacked any ctvaretiiy.,Gemini-1.5-Flash,negative
67,67,The venue was drtiy and lacked basic hygiene standards.,Gemini-1.5-Flash,negative
68,68,This evnet was a total distpoimapnnet. I'm so upset.,Gemini-1.5-Flash,negative
69,69,The movie was a complete wtsae of time. Don't btehor watching it.,Gemini-1.5-Flash,negative
70,70,The venue was expensive and didn't offer anything sicaepl.,Gemini-1.5-Flash,negative
71,71,This event was porloy organized and chiotac. It was a mses.,Gemini-1.5-Flash,negative
72,72,The movie was bonirg and had no redeeming qualities.,Gemini-1.5-Flash,negative
73,73,The venue was inaccessible to those with disabilities.,Gemini-1.5-Flash,negative
74,74,This event was a complete rip-off. I'm dadmnnieg a refund.,Gemini-1.5-Flash,negative
75,75,The movie was slow-paced and lacked any eminxeetct.,Gemini-1.5-Flash,negative
