Unnamed: 0,review,model,sentiment
0,ehT eivom saw a etelpmoc .tsefezoons I detterger yreve .dnoces latoT etsaw fo .yenom,Gemini-1.5-Flash,negative
1,",ylsuoireS eht tsrow eunev ev'I reve neeb .ot ehT dnuos saw ,elbirret eht staes ,elbatrofmocnu dna eht ffats .edur",Gemini-1.5-Flash,negative
2,"sihT tneve saw os ylroop ,dezinagro ti saw a .ekoj I tfel ,ylrae gnileef deppir .ffo",Gemini-1.5-Flash,negative
3,"tahW a retsasid fo a !eivom ehT gnitca saw ,lufwa eht tolp saw ,lacisnesnon dna eht laiceps stceffe erew .yseehc",Gemini-1.5-Flash,negative
4,"I t'ndluow dnemmocer siht eunev ot ym tsrow .ymene tI saw ,ytrid ,depmarc dna .decirprevo",Gemini-1.5-Flash,negative
5,"ehT tneve saw a etelpmoc .nwodtel ehT sremrofrep erew ,gnimlehwrednu dna eht elohw gniht tlef .dehsur",Gemini-1.5-Flash,negative
6,sihT eivom saw gnirob dna .elbatciderp I dluoc evah deyats emoh dna dehctaw tniap .yrd,Gemini-1.5-Flash,negative
7,ehT dnuos metsys ta eht eunev saw .suoicorta I t'ndluoc raeh gnihtyna .ylreporp,Gemini-1.5-Flash,negative
8,ehT tneve saw ylroop desitrevda dna neve esrow ni .ytilaer A latot etsaw fo .emit,Gemini-1.5-Flash,negative
9,sihT eivom dah a elbirret tolp dna elbaveilebnu .gnitca m'I gniksa rof ym yenom .kcab,Gemini-1.5-Flash,negative
10,"ehT eunev saw a .pmud ,ytriD ,yllems dna eht ffats erew .lufplehnu",Gemini-1.5-Flash,negative
11,hcuS a gnitnioppasid .tneve ehT desimorp tnemniatretne saw erehwon ot eb .nees,Gemini-1.5-Flash,negative
12,I llef peelsa gnirud siht .eivom tI saw taht .dab,Gemini-1.5-Flash,negative
13,ehT eunev saw dedworcrevo dna .elbatrofmocnu I t'ndluoc neve yojne eht .tneve,Gemini-1.5-Flash,negative
14,sihT tneve saw a citoahc .ssem sgnihT t'nerew dezinagro dna eht ffats erew .sseleulc,Gemini-1.5-Flash,negative
15,ehT eivom saw os wols dna .gnirob I tsomla deklaw .tuo,Gemini-1.5-Flash,negative
16,"ehT eunev saw os llams dna ,depmarc ti saw .elbaraebnu I t'ndluoc .ehtaerb",Gemini-1.5-Flash,negative
17,sihT tneve saw a etelpmoc .ffo-pir m'I .suoiruf,Gemini-1.5-Flash,negative
18,ehT eivom saw elbatciderp dna .éhcilc ev'I nees .retteb,Gemini-1.5-Flash,negative
19,ehT eunev saw ylroop deniatniam dna .naelcnu m'I .detsugsid,Gemini-1.5-Flash,negative
20,sihT tneve saw dezinagrosid dna dekcal yna laer tnemniatretne .eulav,Gemini-1.5-Flash,negative
21,ehT eivom saw tsuj .lufwa I t'nod neve wonk erehw ot .nigeb,Gemini-1.5-Flash,negative
22,ehT eunev saw ysion dna .gnitcartsid I t'ndluoc sucof no eht .tneve,Gemini-1.5-Flash,negative
23,sihT tneve saw a etelpmoc .eruliaf I terger .gnidnetta,Gemini-1.5-Flash,negative
24,ehT eivom saw gnisufnoc dna ylroop .nettirw I saw tsol eht eritne .emit,Gemini-1.5-Flash,negative
25,ehT eunev saw raf oot evisnepxe rof tahw ti .dereffo I tlef .detaehc,Gemini-1.5-Flash,negative
26,sihT tneve saw ylroop detucexe dna dekcal yna .ytivitaerc,Gemini-1.5-Flash,negative
27,ehT eivom saw a etelpmoc etsaw fo emit dna .yenom t'noD .rehtob,Gemini-1.5-Flash,negative
28,ehT eunev saw elbatrofmocnu dna dekcal cisab .seitinema I saw .elbaresim,Gemini-1.5-Flash,negative
29,sihT tneve saw gnimlehwrednu dna .gnitnioppasid I detcepxe os hcum .erom,Gemini-1.5-Flash,negative
30,ehT eivom saw gnirob dna dekcal yna .ecnatsbus m'I os .detnioppasid,Gemini-1.5-Flash,negative
31,ehT eunev saw ytrid dna dellems .lufwa I t'ndluoc neve yats rof eht elohw .tneve,Gemini-1.5-Flash,negative
32,sihT tneve saw ylroop deganam dna dekcal yna esnes fo .msilanoisseforp,Gemini-1.5-Flash,negative
33,ehT eivom saw a .ssem ehT tolp saw lla revo eht .ecalp,Gemini-1.5-Flash,negative
