,id,review,model,sentiment
0,0,The movie was a complete snoozefest. I rrgetteed every second. Total watse of money.,Gemini-1.5-Flash,negative
1,1,"Sseuliory, the wsort venue I've eevr been to. The sound was tirerlbe, the seats umltfrnaocboe, and the stfaf rude.",Gemini-1.5-Flash,negative
2,2,"This event was so polroy organized, it was a joke. I left early, fenielg ripped off.",Gemini-1.5-Flash,negative
3,3,"What a dtseasir of a movie! The acting was afuwl, the plot was nonsensical, and the saecpil effects were cheesy.",Gemini-1.5-Flash,negative
4,4,"I wouldn't rmeenmocd this venue to my worst enemy. It was dtiry, ceapmrd, and overpriced.",Gemini-1.5-Flash,negative
5,5,"The event was a complete letdown. The peormfrers were underwhelming, and the whole thing felt rushed.",Gemini-1.5-Flash,negative
6,6,This movie was briong and predictable. I could have stayed home and watched paint dry.,Gemini-1.5-Flash,negative
7,7,The sound system at the venue was atrocious. I couldn't hear anything pprleory.,Gemini-1.5-Flash,negative
8,8,The event was poolry advertised and eevn wrose in reality. A tatol wtase of time.,Gemini-1.5-Flash,negative
9,9,This movie had a tlbrerie plot and ubvebilalnee acting. I'm asking for my meony back.,Gemini-1.5-Flash,negative
10,10,"The venue was a dump. Ditry, smelly, and the staff were unhelpful.",Gemini-1.5-Flash,negative
11,11,Such a dinpptainsoig event. The pemisrod eetmirentnnat was nowhere to be seen.,Gemini-1.5-Flash,negative
12,12,I fell asleep during this movie. It was that bad.,Gemini-1.5-Flash,negative
13,13,The venue was overcrowded and unoborlmfctae. I couldn't even ejony the event.,Gemini-1.5-Flash,negative
14,14,This event was a cahtioc mses. Things weren't organized and the staff wree celseuls.,Gemini-1.5-Flash,negative
15,15,The movie was so slow and bronig. I almost walked out.,Gemini-1.5-Flash,negative
16,16,"The venue was so slmal and camrepd, it was unbearable. I cloudn' breathe.",Gemini-1.5-Flash,negative
17,17,This event was a complete rip-off. I'm fiourus.,Gemini-1.5-Flash,negative
18,18,The movie was predictable and cliché. I've seen beettr.,Gemini-1.5-Flash,negative
19,19,The venue was poolry maintained and unclean. I'm dusegsitd.,Gemini-1.5-Flash,negative
20,20,This event was dngiizoresad and lakced any real enarnietntmet vulae.,Gemini-1.5-Flash,negative
21,21,The movie was just afwul. I don't even know where to begin.,Gemini-1.5-Flash,negative
22,22,The venue was noisy and dcatstnriig. I couldn't focus on the event.,Gemini-1.5-Flash,negative
23,23,This event was a complete fuialre. I rgeret attending.,Gemini-1.5-Flash,negative
24,24,The movie was cinousnfg and polroy written. I was lost the entire time.,Gemini-1.5-Flash,negative
25,25,The venue was far too expensive for what it offered. I felt caehetd.,Gemini-1.5-Flash,negative
26,26,This event was poolry executed and lakced any critetaivy.,Gemini-1.5-Flash,negative
27,27,The movie was a cmpoelte watse of time and money. Don't bhteor.,Gemini-1.5-Flash,negative
28,28,The venue was ufolractbomne and lakced basic aniemiets. I was mlribesae.,Gemini-1.5-Flash,negative
29,29,This event was underwhelming and dtinipinspoag. I expected so much more.,Gemini-1.5-Flash,negative
30,30,The movie was biorng and lakced any substance. I'm so deipnaoistpd.,Gemini-1.5-Flash,negative
31,31,The vneue was dtiry and smelled afuwl. I couldn't even stay for the whole eenvt.,Gemini-1.5-Flash,negative
32,32,This event was poolry managed and lakced any sense of professionalism.,Gemini-1.5-Flash,negative
33,33,The movie was a mses. The plot was all over the place.,Gemini-1.5-Flash,negative
34,34,The venue was diufcfilt to get to and poolry signposted. I almost messid the event.,Gemini-1.5-Flash,negative
35,35,This event was a hgue letdown. I'm so anrgy.,Gemini-1.5-Flash,negative
36,36,"The movie was so predictable, it was iliusntng. I'm so mad.",Gemini-1.5-Flash,negative
37,37,The venue was overpriced and understaffed. It was choas.,Gemini-1.5-Flash,negative
38,38,This event was a complete waste of my evening. I'm so ftsrutared.,Gemini-1.5-Flash,negative
39,39,The movie was just plain bad. I can't believe I paid to see it.,Gemini-1.5-Flash,negative
40,40,"The vnuee was cramped and uaomotbnlcrfe, making the event uaslennpat.",Gemini-1.5-Flash,negative
41,41,This event was v advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative
42,42,The miove was a complete dnsomnpeaitpit. I'm so upest.,Gemini-1.5-Flash,negative
43,43,"The venue was a frie hazard. Seriously, it was dnauoegrs.",Gemini-1.5-Flash,negative
44,44,This event was a total ditesasr. I'll neevr go back.,Gemini-1.5-Flash,negative
45,45,"The movie was slow, bronig, and had treiblre aitncg.",Gemini-1.5-Flash,negative
46,46,"The venue was slmal, drtiy, and the sound was tibrlere.",Gemini-1.5-Flash,negative
47,47,This event was poolry organized and lakced any caelr direction.,Gemini-1.5-Flash,negative
48,48,The movie was cfsiunong and lakced a coherent plot.,Gemini-1.5-Flash,negative
49,49,The venue was ulnotcrafmobe and lakced aeuatdqe seating.,Gemini-1.5-Flash,negative
50,50,This event was a complete wtase of time and money. Avoid it.,Gemini-1.5-Flash,negative
51,51,The movie was pilcabderte and lakced any originality.,Gemini-1.5-Flash,negative
52,52,The venue was diulicfft to aseccs and lkaecd proper parking.,Gemini-1.5-Flash,negative
53,53,This event was a detssair. The performers were uorfasepiosnnl.,Gemini-1.5-Flash,negative
54,54,The movie was tbrleire. I rreegt watching it.,Gemini-1.5-Flash,negative
55,55,The venue was run-down and in datrepese need of repair.,Gemini-1.5-Flash,negative
56,56,This event was a cepomlte ldeowtn. I'm so deppaotniisd.,Gemini-1.5-Flash,negative
57,57,"The movie was bonrig, predictable, and had terlbire doilague.",Gemini-1.5-Flash,negative
58,58,The venue was overcrowded and choatic. It was a nightmare.,Gemini-1.5-Flash,negative
59,59,This event was poolry managed and lakced any customer service.,Gemini-1.5-Flash,negative
60,60,The movie was a complete mses. I couldn't follow the plot.,Gemini-1.5-Flash,negative
61,61,The venue was ubmoalnrfotce and the temperature was unbearable.,Gemini-1.5-Flash,negative
62,62,Tihs event was a wstae of time and money. I'm so agrny.,Gemini-1.5-Flash,negative
63,63,"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
64,64,The venue was poolry lit and dilfiucft to navigate.,Gemini-1.5-Flash,negative
65,65,This evnet was a complete fularie. I'm so ferstrtaud.,Gemini-1.5-Flash,negative
66,66,The movie was unoriginal and lakced any cittriveay.,Gemini-1.5-Flash,negative
67,67,The venue was dtriy and lakced basic hygiene standards.,Gemini-1.5-Flash,negative
68,68,This event was a total dpnmnsetpaoiit. I'm so uepst.,Gemini-1.5-Flash,negative
69,69,The movie was a complete watse of time. Don't beohtr watching it.,Gemini-1.5-Flash,negative
70,70,The venue was expensive and didn't offer anything specail.,Gemini-1.5-Flash,negative
71,71,This event was poolry organized and cthaioc. It was a mess.,Gemini-1.5-Flash,negative
72,72,The mvoie was brniog and had no redeeming qualities.,Gemini-1.5-Flash,negative
73,73,The venue was inaccessible to those with disabilities.,Gemini-1.5-Flash,negative
74,74,This event was a complete rip-off. I'm dmidneang a refund.,Gemini-1.5-Flash,negative
75,75,The movie was solw-paced and lakced any emicenxett.,Gemini-1.5-Flash,negative
