,review,model,sentiment
0,The movie was a complete snoozefest.  I regretted every second.  Total waste of money.,Gemini-1.5-Flash,negative
1,"Seriously, the worst venue I've ever been to.  The sound was terrible, the seats uncomfortable, and the staff rude.",Gemini-1.5-Flash,negative
2,"This event was so poorly organized, it was a joke.  I left early, feeling ripped off.",Gemini-1.5-Flash,negative
3,"What a disaster of a movie!  The acting was awful, the plot was nonsensical, and the special effects were cheesy.",Gemini-1.5-Flash,negative
4,"I wouldn't recommend this venue to my worst enemy.  It was dirty, cramped, and overpriced.",Gemini-1.5-Flash,negative
5,"The event was a complete letdown.  The performers were underwhelming, and the whole thing felt rushed.",Gemini-1.5-Flash,negative
6,This movie was boring and predictable. I could have stayed home and watched paint dry.,Gemini-1.5-Flash,negative
7,The sound system at the venue was atrocious. I couldn't hear anything properly.,Gemini-1.5-Flash,negative
8,The event was poorly advertised and even worse in reality.  A total waste of time.,Gemini-1.5-Flash,negative
9,This movie had a terrible plot and unbelievable acting. I'm asking for my money back.,Gemini-1.5-Flash,negative
10,"The venue was a dump.  Dirty, smelly, and the staff were unhelpful.",Gemini-1.5-Flash,negative
11,Such a disappointing event. The promised entertainment was nowhere to be seen.,Gemini-1.5-Flash,negative
12,I fell asleep during this movie.  It was that bad.,Gemini-1.5-Flash,negative
13,The venue was overcrowded and uncomfortable.  I couldn't even enjoy the event.,Gemini-1.5-Flash,negative
14,This event was a chaotic mess.  Things weren't organized and the staff were clueless.,Gemini-1.5-Flash,negative
15,The movie was so slow and boring.  I almost walked out.,Gemini-1.5-Flash,negative
16,"The venue was so small and cramped, it was unbearable.  I couldn't breathe.",Gemini-1.5-Flash,negative
17,This event was a complete rip-off.  I'm furious.,Gemini-1.5-Flash,negative
18,The movie was predictable and cliché.  I've seen better.,Gemini-1.5-Flash,negative
19,The venue was poorly maintained and unclean.  I'm disgusted.,Gemini-1.5-Flash,negative
20,This event was disorganized and lacked any real entertainment value.,Gemini-1.5-Flash,negative
21,The movie was just awful.  I don't even know where to begin.,Gemini-1.5-Flash,negative
22,The venue was noisy and distracting.  I couldn't focus on the event.,Gemini-1.5-Flash,negative
23,This event was a complete failure.  I regret attending.,Gemini-1.5-Flash,negative
24,The movie was confusing and poorly written.  I was lost the entire time.,Gemini-1.5-Flash,negative
25,The venue was far too expensive for what it offered.  I felt cheated.,Gemini-1.5-Flash,negative
26,This event was poorly executed and lacked any creativity.,Gemini-1.5-Flash,negative
27,The movie was a complete waste of time and money.  Don't bother.,Gemini-1.5-Flash,negative
28,The venue was uncomfortable and lacked basic amenities.  I was miserable.,Gemini-1.5-Flash,negative
29,This event was underwhelming and disappointing.  I expected so much more.,Gemini-1.5-Flash,negative
30,The movie was boring and lacked any substance.  I'm so disappointed.,Gemini-1.5-Flash,negative
31,The venue was dirty and smelled awful.  I couldn't even stay for the whole event.,Gemini-1.5-Flash,negative
32,This event was poorly managed and lacked any sense of professionalism.,Gemini-1.5-Flash,negative
33,The movie was a mess.  The plot was all over the place.,Gemini-1.5-Flash,negative
34,The venue was difficult to get to and poorly signposted.  I almost missed the event.,Gemini-1.5-Flash,negative
35,This event was a huge letdown.  I'm so angry.,Gemini-1.5-Flash,negative
36,"The movie was so predictable, it was insulting.  I'm so mad.",Gemini-1.5-Flash,negative
37,The venue was overpriced and understaffed.  It was chaos.,Gemini-1.5-Flash,negative
38,This event was a complete waste of my evening.  I'm so frustrated.,Gemini-1.5-Flash,negative
39,The movie was just plain bad.  I can't believe I paid to see it.,Gemini-1.5-Flash,negative
40,"The venue was cramped and uncomfortable, making the event unpleasant.",Gemini-1.5-Flash,negative
41,This event was poorly advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative
42,The movie was a complete disappointment.  I'm so upset.,Gemini-1.5-Flash,negative
43,"The venue was a fire hazard.  Seriously, it was dangerous.",Gemini-1.5-Flash,negative
44,This event was a total disaster.  I'll never go back.,Gemini-1.5-Flash,negative
45,"The movie was slow, boring, and had terrible acting.",Gemini-1.5-Flash,negative
46,"The venue was small, dirty, and the sound was terrible.",Gemini-1.5-Flash,negative
47,This event was poorly organized and lacked any clear direction.,Gemini-1.5-Flash,negative
48,The movie was confusing and lacked a coherent plot.,Gemini-1.5-Flash,negative
49,The venue was uncomfortable and lacked adequate seating.,Gemini-1.5-Flash,negative
50,This event was a complete waste of time and money.  Avoid it.,Gemini-1.5-Flash,negative
51,The movie was predictable and lacked any originality.,Gemini-1.5-Flash,negative
52,The venue was difficult to access and lacked proper parking.,Gemini-1.5-Flash,negative
53,This event was a disaster.  The performers were unprofessional.,Gemini-1.5-Flash,negative
54,The movie was terrible.  I regret watching it.,Gemini-1.5-Flash,negative
55,The venue was run-down and in desperate need of repair.,Gemini-1.5-Flash,negative
56,This event was a complete letdown.  I'm so disappointed.,Gemini-1.5-Flash,negative
57,"The movie was boring, predictable, and had terrible dialogue.",Gemini-1.5-Flash,negative
58,The venue was overcrowded and chaotic.  It was a nightmare.,Gemini-1.5-Flash,negative
59,This event was poorly managed and lacked any customer service.,Gemini-1.5-Flash,negative
60,The movie was a complete mess.  I couldn't follow the plot.,Gemini-1.5-Flash,negative
61,The venue was uncomfortable and the temperature was unbearable.,Gemini-1.5-Flash,negative
62,This event was a waste of time and money.  I'm so angry.,Gemini-1.5-Flash,negative
63,"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative
64,The venue was poorly lit and difficult to navigate.,Gemini-1.5-Flash,negative
65,This event was a complete failure.  I'm so frustrated.,Gemini-1.5-Flash,negative
66,The movie was unoriginal and lacked any creativity.,Gemini-1.5-Flash,negative
67,The venue was dirty and lacked basic hygiene standards.,Gemini-1.5-Flash,negative
68,This event was a total disappointment.  I'm so upset.,Gemini-1.5-Flash,negative
69,The movie was a complete waste of time.  Don't bother watching it.,Gemini-1.5-Flash,negative
70,The venue was expensive and didn't offer anything special.,Gemini-1.5-Flash,negative
71,This event was poorly organized and chaotic.  It was a mess.,Gemini-1.5-Flash,negative
72,The movie was boring and had no redeeming qualities.,Gemini-1.5-Flash,negative
73,The venue was inaccessible to those with disabilities.,Gemini-1.5-Flash,negative
74,This event was a complete rip-off.  I'm demanding a refund.,Gemini-1.5-Flash,negative
75,The movie was slow-paced and lacked any excitement.,Gemini-1.5-Flash,negative
76,The venue was uncomfortable and lacked proper ventilation.,Gemini-1.5-Flash,negative
77,This event was a total disaster.  I'm so disappointed.,Gemini-1.5-Flash,negative
78,The movie was confusing and poorly edited.,Gemini-1.5-Flash,negative
79,"The venue was noisy and disruptive, ruining the event.",Gemini-1.5-Flash,negative
80,This event was a complete waste of my time and money.,Gemini-1.5-Flash,negative
81,The movie was predictable and lacked any suspense.,Gemini-1.5-Flash,negative
82,The venue was poorly maintained and in need of renovation.,Gemini-1.5-Flash,negative
83,This event was a total letdown.  I'm so angry.,Gemini-1.5-Flash,negative
84,The movie was boring and had terrible special effects.,Gemini-1.5-Flash,negative
85,The venue was difficult to find and poorly advertised.,Gemini-1.5-Flash,negative
86,This event was a complete failure.  I regret going.,Gemini-1.5-Flash,negative
87,The movie was uninspired and lacked any originality.,Gemini-1.5-Flash,negative
88,The venue was uncomfortable and lacked basic amenities.,Gemini-1.5-Flash,negative
89,This event was a complete disappointment.  I'm so frustrated.,Gemini-1.5-Flash,negative
90,The movie was a complete waste of my time and money.,Gemini-1.5-Flash,negative
91,The venue was overpriced and understaffed.  It was a disaster.,Gemini-1.5-Flash,negative
92,This event was poorly organized and lacked any entertainment value.,Gemini-1.5-Flash,negative
93,The movie was boring and had terrible acting.,Gemini-1.5-Flash,negative
94,The venue was dirty and smelled bad.,Gemini-1.5-Flash,negative
95,This event was a complete letdown.  I'm so upset.,Gemini-1.5-Flash,negative
96,The movie was confusing and difficult to follow.,Gemini-1.5-Flash,negative
97,The venue was inaccessible and difficult to navigate.,Gemini-1.5-Flash,negative
98,This event was a total waste of my time.,Gemini-1.5-Flash,negative
99,The movie was unoriginal and predictable.,Gemini-1.5-Flash,negative
100,The venue was uncomfortable and lacked proper seating.,Gemini-1.5-Flash,negative
101,This event was a complete disappointment.  I'm so angry.,Gemini-1.5-Flash,negative
102,The movie was boring and had a terrible plot.,Gemini-1.5-Flash,negative
103,The venue was poorly maintained and in disrepair.,Gemini-1.5-Flash,negative
104,This event was a complete failure.  I'm so frustrated.,Gemini-1.5-Flash,negative
105,The movie was a waste of time and money.,Gemini-1.5-Flash,negative
106,The venue was overcrowded and uncomfortable.,Gemini-1.5-Flash,negative
107,This event was a total letdown. I'm so disappointed.,Gemini-1.5-Flash,negative
108,This product is garbage. It broke after only a week.  I'm so disappointed.,Gemini-1.5-Flash,negative
109,The movie was a complete waste of time.  The plot was nonsensical and the acting was awful.,Gemini-1.5-Flash,negative
110,"What a terrible event!  Poorly organized, overpriced, and the performers were terrible.",Gemini-1.5-Flash,negative
111,"This venue is a dump.  Dirty, smelly, and the staff were incredibly rude.",Gemini-1.5-Flash,negative
