Unnamed: 0,review,model,sentiment
0,money. of waste Total second. every regretted I snoozefest. complete a was movie The,Gemini-1.5-Flash,negative
1,"rude. staff the and uncomfortable, seats the terrible, was sound The to. been ever I've venue worst the Seriously,",Gemini-1.5-Flash,negative
2,"off. ripped feeling early, left I joke. a was it organized, poorly so was event This",Gemini-1.5-Flash,negative
3,"cheesy. were effects special the and nonsensical, was plot the awful, was acting The movie! a of disaster a What",Gemini-1.5-Flash,negative
4,"overpriced. and cramped, dirty, was It enemy. worst my to venue this recommend wouldn't I",Gemini-1.5-Flash,negative
5,"rushed. felt thing whole the and underwhelming, were performers The letdown. complete a was event The",Gemini-1.5-Flash,negative
6,dry. paint watched and home stayed have could I predictable. and boring was movie This,Gemini-1.5-Flash,negative
7,properly. anything hear couldn't I atrocious. was venue the at system sound The,Gemini-1.5-Flash,negative
8,time. of waste total A reality. in worse even and advertised poorly was event The,Gemini-1.5-Flash,negative
9,back. money my for asking I'm acting. unbelievable and plot terrible a had movie This,Gemini-1.5-Flash,negative
10,"unhelpful. were staff the and smelly, Dirty, dump. a was venue The",Gemini-1.5-Flash,negative
11,seen. be to nowhere was entertainment promised The event. disappointing a Such,Gemini-1.5-Flash,negative
12,bad. that was It movie. this during asleep fell I,Gemini-1.5-Flash,negative
13,event. the enjoy even couldn't I uncomfortable. and overcrowded was venue The,Gemini-1.5-Flash,negative
14,clueless. were staff the and organized weren't Things mess. chaotic a was event This,Gemini-1.5-Flash,negative
15,out. walked almost I boring. and slow so was movie The,Gemini-1.5-Flash,negative
16,"breathe. couldn't I unbearable. was it cramped, and small so was venue The",Gemini-1.5-Flash,negative
17,furious. I'm rip-off. complete a was event This,Gemini-1.5-Flash,negative
18,better. seen I've cliché. and predictable was movie The,Gemini-1.5-Flash,negative
19,disgusted. I'm unclean. and maintained poorly was venue The,Gemini-1.5-Flash,negative
20,value. entertainment real any lacked and disorganized was event This,Gemini-1.5-Flash,negative
21,begin. to where know even don't I awful. just was movie The,Gemini-1.5-Flash,negative
22,event. the on focus couldn't I distracting. and noisy was venue The,Gemini-1.5-Flash,negative
23,attending. regret I failure. complete a was event This,Gemini-1.5-Flash,negative
24,time. entire the lost was I written. poorly and confusing was movie The,Gemini-1.5-Flash,negative
25,cheated. felt I offered. it what for expensive too far was venue The,Gemini-1.5-Flash,negative
26,creativity. any lacked and executed poorly was event This,Gemini-1.5-Flash,negative
27,bother. Don't money. and time of waste complete a was movie The,Gemini-1.5-Flash,negative
28,miserable. was I amenities. basic lacked and uncomfortable was venue The,Gemini-1.5-Flash,negative
29,more. much so expected I disappointing. and underwhelming was event This,Gemini-1.5-Flash,negative
30,disappointed. so I'm substance. any lacked and boring was movie The,Gemini-1.5-Flash,negative
31,event. whole the for stay even couldn't I awful. smelled and dirty was venue The,Gemini-1.5-Flash,negative
32,professionalism. of sense any lacked and managed poorly was event This,Gemini-1.5-Flash,negative
33,place. the over all was plot The mess. a was movie The,Gemini-1.5-Flash,negative
34,event. the missed almost I signposted. poorly and to get to difficult was venue The,Gemini-1.5-Flash,negative
35,angry. so I'm letdown. huge a was event This,Gemini-1.5-Flash,negative
36,"mad. so I'm insulting. was it predictable, so was movie The",Gemini-1.5-Flash,negative
